#article,editor
36258669,12605825
36258669,21848
36258669,3214
36258669,27231
36258669,297406
36258669,528646
36258669,441000
36258669,93029
36258669,230355
36258669,816769
36258669,259121
36258669,2471791
36258669,92503
372801,116043
372801,288320
372801,13100
372801,51792
372801,210185
372801,535603
372801,1849335
372801,16949
3414021,5495
3414021,104070
2337812,7083161
2337812,282631
2337812,83577
2337812,791372
2337812,476781
2337812,39610
2337812,9075375
2337812,4457
2337812,131141
2337812,3625465
2337812,13087708
2337812,3025677
2337812,9072
2337812,6396
14439630,292012
14439630,1157978
14439630,210185
14439630,23771
14439630,1974704
14439630,535541
1001666,257524
1001666,115903
1001666,116816
1001666,2677
1001666,49983
1001666,175775
1001666,85324
1001666,1208376
1001666,115210
1001666,74846
3434750,2976135
3434750,61847
3434750,52164
3434750,894404
3434750,65178
3434750,4750
3434750,90418
251212,1451
251212,151531
251212,169276
251212,8101
251212,62926
251212,34821
251212,33663
251212,3344911
3410343,2563
3410343,4491683
3410343,81363
3410343,112775
3410343,403614
3410343,1346101
3410343,6363
3410343,1536050
3410343,811691
5043734,25515
5043734,18486
8835,2727
8835,116398
8835,437113
8835,1535794
8835,1158
8835,1536866
8835,1537291
8835,181925
8835,782222
8835,744616
8835,11318
8835,21481
8835,1536163
8835,1207
8835,112463
8835,1448701
8835,115645
8835,14533
380021,1050689
380021,750852
380021,535316
380021,535603
380021,288320
380021,1367314
380021,13100
380021,51792
380021,116043
380021,1849335
380021,16949
303197,15634
303197,2702896
303197,16711
303197,972
303197,73677
14995351,23508
14995351,77402
14995351,6546
14995351,251800
14995351,81150
14995351,1599453
14995351,377001
1095706,268215
1095706,6418
1095706,1195
1095706,17385
1095706,15124
1095706,88778
1095706,31438
1095706,41011
1095706,6412
1095706,18365
8697957,116398
8697957,1207
8697957,1536163
8697957,437113
8697957,1536866
8697957,112463
8697957,782222
8697957,1448701
8697957,5089
8697957,14533
8697957,115645
606848,17780
606848,17826
606848,2982
606848,117730
606848,160075
606848,104085
606848,369206
606848,31001
606848,199211
3784152,12912980
3784152,1269043
3784152,9429586
3784152,3327610
3784152,12469219
3784152,24611832
3784152,216639
2731583,165501
2731583,18371
2731583,65042
2731583,6233
534366,491097
534366,16913
534366,85415
534366,949
534366,51175
534366,32107
534366,1416090
32927,35710
32927,177464
32927,563926
32927,383
32927,87880
32927,84986
32927,25533
32927,65350
32927,326989
3382,576272
3382,5901
3382,574291
3382,576392
3382,576942
621216,8429
621216,9069
621216,58100
621216,2762
621216,9930
621216,74623
621216,12958
621216,2625
621216,60881
621216,6124
621216,2142720
621216,6305
621216,629
621216,2798
621216,6952
621216,2528
621216,332
621216,7015
621216,2796
621216,12559
621216,16787450
621216,3038
621216,2563
621216,2727
1449500,345105
1449500,387923
1449500,144616
1449500,74611
12032281,2563
12032281,11599
12032281,1312
12032281,692449
12032281,8743
12032281,89149
12032281,115670
12032281,9752
621396,2677
621396,45308
621396,12958
621396,6793
621396,74623
621396,24813
621396,60881
621396,2142720
621396,6124
621396,629
621396,6305
621396,2528
621396,7015
621396,6952
621396,2798
621396,332
621396,2796
621396,12559
621396,16787450
621396,3038
621396,2563
621396,2727
421853,15848
421853,1833017
421853,87405
421853,33062
421853,44630
421853,23109
345792,76027
345792,185430
345792,7082206
345792,94047
345792,403841
345792,477435
29812,89424
29812,283569
29812,894404
29812,66406
29812,32551
29812,18357
14533,29396
14533,77328
14533,82455
14533,33764
14533,92641
14533,270754
14533,53131
14533,7143
14533,92483
52547,175488
52547,230429
52547,801017
52547,531296
52547,16023
52547,210072
52547,531569
52547,439543
52547,68782
719861,12958
719861,24813
719861,74623
719861,45308
719861,6124
719861,60881
719861,2142720
719861,6305
719861,629
719861,6952
719861,2528
719861,2563
719861,2796
719861,7015
719861,3038
719861,2798
719861,12559
719861,16787450
719861,332
719861,2727
31717,99106
31717,90452
31717,103929
4478284,2563
4478284,4915
4478284,8759271
4478284,2137051
4478284,35617
4478284,89974
4478284,19721
4478284,50080
42930508,8780
42930508,743972
42930508,10190927
42930508,16949
142056,112276
142056,993637
142056,149503
142056,377001
142056,33724
142056,147741
142056,400221
142056,378850
142056,123660
262376,44231
262376,44029
262376,44787
262376,44953
262376,43850
26413,46220
26413,2729590
26413,114274
26413,45161
26413,393482
26413,170320
26413,1286183
26413,148614
6299613,46644
6299613,136520
6299613,21615
6299613,26797
6299613,320641
6299613,156226
6299613,90273
6299613,91788
5042951,1935
5042951,6287
5042951,6765
5042951,42
5042951,545552
5042951,72304
5042951,391623
5042951,13014
5042951,17083
5042951,6528
24951,87405
24951,291093
24951,2330
24951,1802407
24951,70712
24951,33062
292279,53055
292279,164039
292279,8783
292279,2810832
292279,326161
292279,22869
68187,2708532
68187,168150
68187,46220
68187,114274
68187,3225826
68187,66202
68187,413943
68187,27047
719876,74623
719876,9069
719876,2798
719876,58100
719876,14118
719876,8622
719876,45308
719876,2777
719876,24813
719876,1312
719876,2563
719876,2142720
719876,60881
719876,629
719876,2528
719876,6305
719876,332
719876,12559
719876,6952
719876,7015
719876,16787450
719876,2796
719876,3038
719876,2727
311937,94047
311937,185430
1620586,655243
1620586,986055
1620586,104215
1620586,1216534
1620586,2579
191890,517846
191890,61132
191890,44304
191890,93081
18934,97427
18934,96988
18934,97287
18934,583066
18934,97282
18934,1066
18934,96742
18934,12843
12373394,527293
12373394,1312
12373394,2563
12373394,8743
12373394,89149
12373394,115670
12373394,9752
645042,1930
645042,1115151
645042,538914
645042,4915
645042,4516
645042,275761
645042,142629
645042,59494
9288,65042
9288,7994
9288,1600768
9288,15773
9288,525876
9288,32551
9288,894404
9288,784433
14305065,288320
14305065,51792
14305065,116043
14305065,13100
14305065,1849335
14305065,16949
6037917,311968
6037917,99720
6037917,1066
6037917,96742
6037917,97287
6037917,1051139
6037917,12843
6106572,115670
6106572,115903
6106572,13100
6106572,349455
6106572,56894
6106572,116308
6106572,1849335
6106572,16949
391371,272421
391371,100095
391371,17522
391371,230250
8952317,8385544
8952317,369083
8952317,86628
8952317,399318
62676,430551
62676,83577
62676,175775
62676,3025677
62676,44630
20855562,732505
20855562,21113
20855562,75555
20855562,47380
20855562,248995
20855562,54910
20855562,283733
20855562,780750
20855562,97829
20855562,26797
20855562,143594
20855562,415177
20855562,2309346
20855562,46644
20855562,2756515
20855562,59314
20855562,92615
20855562,5980917
20855562,3308740
20855562,35150
20855562,413329
92656,6908
92656,25541
92656,1512416
92656,164182
8242057,2072025
8242057,1832
8242057,73057
8242057,42508
8242057,36230
8718425,1210123
8718425,4959
8718425,5280
8718425,329088
8718425,398033
8718425,182660
8718425,3108
8718425,15124
8718425,211892
8718425,6407
8718425,846586
8718425,89446
8718425,227451
8718425,52435
29056,517941
29056,81363
29056,944989
29056,403614
3152703,218274
3152703,2563
3152703,12632687
3152703,623330
3152703,23347
3152703,665111
3152703,39702
3152703,144616
147575,17252
147575,7400
147575,120463
147575,4033
147575,147464
147575,46798
1610197,1713206
1610197,17704
1610197,26390
1610197,134566
1610197,18259
1610197,305624
1610197,44630
17843985,437113
17843985,33590
17843985,210185
17843985,115002
17843985,535603
16454230,235684
16454230,547568
16454230,85368
16454230,743355
16454230,22067
16454230,133139
307,17973
307,18155
307,18093
307,17969
307,6412
307,9308
307,18070
3356,17470
173486,327004
173486,839073
173486,138094
173486,385496
173486,2447246
173486,595387
173486,122159
173486,1435
22989,111224
22989,2768
22989,1988
22989,778368
22989,32871
22989,28025
22989,11340
22989,146861
22989,465623
26494,27856
26494,31670
26494,2239874
26494,2455033
26494,949
26494,1978336
26494,32596
26494,528481
26494,512223
26494,528520
26494,246655
26494,21436
26494,528496
26494,87651
26494,101106
26494,479
26494,528476
156126,172980
156126,6995438
156126,60749
156126,369187
414848,402797
414848,591412
414848,44304
414848,576172
414848,576397
414848,6404
2387806,2931808
2387806,5138
2387806,36108
18787,52076
18787,361589
210892,15226
210892,5963169
210892,381655
210892,39390
5405,9141
5405,18365
5405,55542
5405,65178
5405,2560
5405,77382
13118744,26740
13118744,446384
13118744,966408
13118744,888441
13118744,1574
13118744,3357365
13118744,2482
13118744,5888
11054,46829
11054,121577
11054,1130
11054,26823
11054,165309
11054,192469
11054,2415
11054,93001
578152,94047
578152,568573
578152,44630
578152,476781
578152,185430
4460092,862581
4460092,3137440
4460092,18992
4460092,118556
4460092,11487
4460092,207632
4460092,6595756
471284,332
471284,56680
471284,489363
471284,2755381
471284,1190585
471284,7763558
471284,3392658
471284,15396327
471284,2811973
471284,2660
3383,579934
3383,580622
3383,93560
3383,348368
3383,64490
3383,83821
3383,18211
3383,87015
5207311,115852
5207311,548618
5207311,18202
5207311,164016
5207311,548609
5207311,1046292
5207311,5259
68769,8179
68769,357182
26678,450033
26678,17704
26678,327004
26678,18370
17771,2973
17771,157765
17771,81233
17771,90273
4689264,127841
4689264,55666
4689264,2129
4689264,11487
4689264,17425
4689264,3562
30035,181202
30035,2346585
30035,18259
30035,1847895
30035,134566
30035,4607855
379591,36348
379591,21702
379591,1033
379591,135641
10705678,6567
10705678,125639
10705678,243620
10705678,7624
10705678,83345
10705678,9475
10705678,4915
10705678,70103
10705678,31281
886286,24040
886286,1058208
886286,2785181
886286,14474472
886286,176364
886286,47362
886286,6661
886286,3346
886286,131055
886286,343537
886286,17711
886286,317711
9236,25006
9236,386107
9236,1103520
9236,22
9236,5019
9236,4391
100627,58786
100627,36230
100627,161430
4637590,561802
4637590,2768
4637590,142912
4637590,43944
4637590,99060
13543,724820
13543,211796
13543,1115015
13543,2537
13543,109480
13543,118069
13543,92641
13543,29932
13543,82455
13543,58143
13543,908462
32611,30757
32611,4861483
32611,2756285
32611,104120
32611,93080
32611,550547
3267529,26549
3267529,18110
3267529,228132
3267529,24923
3267529,82988
3267529,490
3267529,212274
3267529,585506
3267529,212162
2941511,2016482
2941511,19749
2941511,235664
2941511,26823
2941511,10753
2941511,229480
2941511,25771
2941511,7349
2941511,518990
2941511,17832
2941511,5427
2941511,26606
2941511,18148
2034236,839042
2034236,18259
2034236,422075
2034236,437113
2034236,115670
2034236,4623
2034236,210185
1925533,62459
1925533,1719613
1925533,1203294
1925533,4651
1925533,227448
1925533,458420
1925533,407866
1925533,437591
1925533,71675
5122699,1482698
5122699,16692
5122699,51947
5122699,241464
5122699,14733
5122699,3764
5122699,280
5122699,324569
18482905,8569929
18482905,6529205
18482905,748981
18482905,1202380
18482905,4576886
18482905,62459
18482905,1202663
18482905,1203294
18482905,407866
59892,3068720
59892,314697
59892,4151756
59892,21855
59892,21816
59892,517846
59892,2223978
59892,18316
59892,72577
188564,166060
188564,566699
188564,27671
188564,586552
188564,786302
188564,784163
188564,862921
188564,165219
188564,22769
10396793,15492
10396793,1044
10396793,2659852
10396793,961754
10396793,18281
10396793,193194
10396793,18058
2893764,840211
2893764,3146910
2893764,839698
2893764,11867605
9287211,2672153
9287211,144294
9287211,10885981
9287211,28318
9287211,174109
9287211,22187
9287211,20522
11968,18212
11968,21674
11968,18070
11968,6412
11968,9308
25047006,24112
25047006,2563
25047006,9072
25047006,679128
25047006,683872
25047006,1400595
25047006,9370
25047006,53679
25047006,501738
25047006,245527
25047006,35253
13869,398986
13869,8781
13869,20915
13869,529691
13869,21561
13869,164223
13869,90418
247468,369187
247468,476346
12317432,1744064
12317432,1123174
12317432,1312
12317432,3777839
12317432,425996
12317432,2563
12317432,123660
12317432,115670
776049,3119
776049,160561
776049,5179
776049,251175
776049,18151
776049,197800
776049,112162
32387701,17457
32387701,4943
32387701,623443
32387701,27679
32387701,8545
32387701,193567
32387701,439135
32387701,170904
15641,383
15641,479
15641,14682
15641,217
15641,336
15641,297518
15641,125939
12133230,17279
12133230,74788
12133230,29409
12133230,115670
12133230,812282
12133230,2563
621063,4932040
621063,136499
621063,151132
621063,6447102
11315,363720
11315,839155
11315,5495
11315,50314
37534,6357
37534,443402
37534,112848
37534,504227
37534,29396
37534,443890
37534,1533
37534,304241
2110323,735559
2110323,2166
2110323,5263474
2110323,399904
2110323,578330
2110323,95042
2110323,14767825
2110323,6404
2110323,577935
5416,732332
5416,31438
5416,371
5416,14682
5416,1130
5416,949
5416,995
5416,479
5416,420
7959,1232
7959,772246
7959,2768
7959,11851
7959,479
877926,1388284
877926,594672
877926,18408225
877926,7953092
877926,18408325
877926,90814
877926,7403930
877926,1309809
877926,13106548
877926,2068690
14532,98979
14532,30036
14532,101939
14532,102018
14532,29530
46417,1704803
46417,408022
46417,114274
46417,167578
719972,74623
719972,58100
719972,2798
719972,2777
719972,1312
719972,2674
719972,45308
719972,25415
719972,8622
719972,12559
719972,24813
719972,2142720
719972,60881
719972,629
719972,2528
719972,332
719972,2796
719972,2563
719972,6305
719972,6952
719972,7015
719972,16787450
719972,3038
719972,2727
11014515,27505
11014515,1089
11014515,7205
11014515,336
11014515,16520
12249252,1720936
12249252,1435
12249252,3777839
12249252,1312
12249252,425996
12249252,2563
12249252,115670
12249252,69814
18119,121802
18119,31719
18119,1464240
18119,2932859
18119,406488
18119,1705173
18119,7327
18119,114274
18119,58285
18119,280319
18119,440940
1077137,4368025
1077137,235684
1077137,3458199
1077137,344516
1077137,971290
1077137,149160
1077137,165475
1077137,971349
1077137,7420
1077137,90690
1077137,9298
5043192,568391
5043192,2727
5043192,32107
5043192,566927
5043192,102013
4732861,2780678
4732861,12394
4732861,8740
4732861,8602167
4732861,304516
4732861,1399216
4732861,762884
4732861,395931
4732861,62459
89847,80094
89847,819365
89847,51870
22468,2113
22468,6601
39660,639650
39660,59588
39660,15775
39660,18371
39660,18297
15247542,235849
15247542,55694
15247542,683
15247542,102414
15247542,5387
15247542,6412
15247542,7749
15295,395217
15295,104510
15295,5019
15295,31595
15295,97391
15295,42
15295,103965
15295,6146
15295,239496
572605,4110967
572605,451694
572605,2768
572605,2009965
572605,116816
572605,327004
572605,260814
572605,634251
572605,451828
572605,116051
572605,451782
572605,175775
572605,487071
572605,74846
1725303,178784
1725303,108603
1725303,872630
1725303,3778905
1725303,485440
29922,3063
29922,18223
29922,6412
29922,9355
29922,18155
29922,9308
29922,18070
29922,18114
29922,2292
29922,18010
168455,10202864
168455,395931
168455,10201703
168455,4220365
168455,1046785
168455,8378627
36165,21597
36165,535198
36165,7766
36165,94789
259106,14742
259106,83345
259106,272421
259106,17522
259106,5825591
259106,2563
259106,230250
12330092,11864
12330092,578258
12330092,957077
12330092,829412
12330092,136499
12330092,2576293
22278,284219
22278,116902
22278,30534
22278,117079
22278,29194
22278,117015
296266,1007610
296266,18207
296266,548989
296266,878584
296266,67060
296266,21733
296266,4651
296266,191867
296266,112652
296266,1719197
296266,12161
296266,7237
296266,598511
296266,43655
296266,18202
8060,2768
8060,1360031
8060,7532
8060,2973
8060,225402
8060,104560
9316,7408
9316,46479
9316,46447
9316,292511
3966054,81351
3966054,75934
3966054,32596
3966054,225852
3966054,327018
3966054,79001
3966054,366095
18762503,149333
18762503,47095
18762503,98428
18762503,26644
18762503,39622
18762503,60503
18762503,4010359
18762503,2563
18762503,11318
18762503,616289
18762503,905434
18762503,2833336
18762503,612056
18762503,46644
18762503,369070
18762503,423409
18762503,403647
44789934,46565
44789934,90970
44789934,1424443
44789934,467866
44789934,8666
44789934,403843
44789934,297406
44789934,363022
44789934,816769
44789934,1883263
44789934,2471791
44789934,60749
44789934,21848
44789934,3114621
44789934,93029
44789934,230355
44789934,259121
44789934,92503
2289648,137443
2289648,51870
2289648,9952
2289648,135944
2289648,2500989
2289648,108861
157233,164329
157233,122173
157233,23923
157233,179638
24095,19238
24095,2768
24095,51
24095,284265
149225,22869
149225,52076
149225,202614
149225,819393
149225,371343
83688,129618
83688,21802
83688,6404
83688,77118
83688,1417318
83688,149911
83688,4673897
83688,2166
929809,132244
929809,517928
929809,42280
929809,858665
929809,23968
929809,100095
929809,532063
12824609,816011
12824609,21753029
12824609,816139
12824609,32956507
12824609,32956115
12824609,18441
12824609,816183
12824609,816016
12824609,2902572
12824609,37014
12824609,44953
12824609,44992
5058690,4750
5058690,90690
5058690,727
5058690,4516
5058690,9298
5042916,905050
5042916,77382
5042916,6412
5042916,14300
5042916,28220
5042916,11524
5042916,24925
8209,173032
8209,2768
8209,5259
8209,12161
8209,18202
8209,17923
8209,43655
26589,472675
26589,842604
26589,2299540
26589,65990
26589,28542
26589,327149
2592336,122159
2592336,812282
2592336,69814
2592336,115670
2592336,689781
2592336,1435
2592336,39702
921237,2563
921237,436032
921237,35778
921237,13458494
921237,210185
921237,4915
11091078,451828
11091078,116051
11091078,451694
11091078,4110967
11091078,50080
11091078,74846
11091078,451782
11091078,327004
11091078,175775
619009,138539
619009,39702
619009,116455
619009,463219
2150841,44890
2150841,1464327
2150841,5392100
2150841,58175
2150841,543726
2150841,400496
2150841,429470
2150841,129386
2150841,3074
5935,10702
5935,4943
5935,72129
5935,23160
5935,129988
5935,17457
5935,8545
5935,428285
5935,439135
5935,174874
5843419,106917
5843419,884162
5843419,1791708
38301,18152
38301,3095
38301,347429
38301,14682
38301,579108
38301,47594
38301,825846
38301,368441
38301,6079
38301,1597
4276475,23248
4276475,125311
4276475,164213
4276475,548618
4276475,23126
4276475,24361
4276475,253912
4276475,103808
52726,292653
52726,1574618
52726,73057
52726,136250
52726,17508
52726,164223
3454,2973
3454,603257
3454,77444
3454,603632
3454,603393
3454,341540
3454,600919
3454,33764
4335,327004
4335,141683
4335,87939
4335,74846
4335,213139
4335,46146
4335,103808
4335,91006
4335,164223
29265,94197
29265,94518
29265,476
29265,93636
29265,46853
29265,9998
29265,857140
29265,612804
29265,58260
29265,93001
29265,96666
29265,857614
29265,93599
15852,32107
15852,17923
15852,18357
15852,1441027
15852,32551
15852,66406
27977,13772
27977,84092
346200,56680
346200,476781
346200,61039
346200,185430
346200,180991
346200,44630
31752,18010
31752,18095
31752,9308
31752,15066
31752,18093
31752,18070
31752,4277
31752,18114
6678,7007
6678,512223
6678,4391
25445,98892
25445,72154
25445,117498
25445,17492
25445,129198
25445,93916
25445,69266
2445129,892568
2445129,2725669
2445129,115670
2445129,1365433
2445129,535603
2445129,34304
2445129,422075
2445129,437113
2445129,4623
8490390,50314
8490390,49024
8490390,2671856
8490390,23836
8490390,22187
8490390,3106951
8490390,588369
8490390,16258
49728,24545
49728,70103
49728,1563
49728,530473
49728,235664
5222,2973
5222,51521
5222,348982
5222,55753
5222,581265
360759,50080
360759,4915
360759,292012
360759,23771
360759,1974704
360759,535541
5488304,949
5488304,3127
5488304,1799343
5488304,1261938
5488304,17355
5488304,11969
1617333,3921950
1617333,12841740
1617333,4767281
1617333,23347
1617333,44630
1617333,70712
1617333,67709
1617333,116455
1617333,56201
18951905,3074
18951905,3384579
18951905,64864
18951905,28260
18951905,250651
18951905,6308072
18951905,581221
18951905,32708
35825,12822
35825,7766
35825,309851
35825,2081
35825,364810
35825,94789
35825,8371
35825,70294
35825,7420
35825,23508
17279743,1352637
17279743,21597
17279743,333770
17279743,29077
17279743,40968
5119376,11684
5119376,6412
5119376,16692
5119376,165501
5119376,18070
240940,413450
240940,1720
240940,2835
240940,19164
240940,2785246
240940,397643
240940,24640
240940,5114
240940,546742
240940,5949211
45246,804198
45246,627878
45246,1627254
45246,4537920
45246,627683
808402,7892905
808402,2793
808402,1287973
808402,1706732
808402,4308464
808402,27930
28480,591473
28480,33724
28480,2780988
28480,3136086
8135890,4448356
8135890,6179
8135890,20522
8135890,27702
8135890,118556
16095,44029
16095,52076
16095,812833
16095,2659152
16095,1800316
16095,21615
16095,292539
16095,18357
738,90806
738,29654
738,94317
720146,2501
720146,3021
720146,74623
720146,2798
720146,2246
720146,24813
720146,2563
720146,1312
720146,45308
720146,8622
720146,1995
720146,32339
720146,2142720
720146,29060
720146,332
720146,6305
720146,16787450
720146,2528
720146,12958
720146,12559
720146,6952
720146,7015
720146,2727
720146,3038
720146,2796
52780,148325
52780,568501
52780,45161
52780,69057
52780,101207
52780,18082
52780,55666
69713,7429677
69713,143564
69713,5563132
69713,103929
69713,3180
69713,21998
69713,2184041
69713,16817
69713,407904
69713,77941
69713,1118015
69713,406445
42068,659267
42068,813393
42068,2684535
42068,464182
42068,2988
42068,1453042
42068,2455185
7723686,2780845
7723686,568042
7723686,207063
7723686,61522
7723686,16949
7723686,18181
7723686,164016
7723686,251466
7723686,9958818
7723686,2805
7723686,5259
7723686,548609
1491364,2358493
1491364,801111
1491364,2805
1491364,27268
1491364,26976
1491364,1157807
1491364,21318619
1491364,743355
1491364,22067
1491364,1028588
1491364,547568
26667,104615
26667,6356
26667,12479
26667,282641
26667,45999
26667,560890
26667,104883
1886892,9741203
1886892,3778065
1886892,13434
1886892,138382
1886892,65439
1886892,3243148
1886892,2836910
1886892,85690
8083,237601
8083,23109
8083,7945
8083,1367511
8083,919221
8083,986543
8083,2059
8083,1176917
1535727,917958
1535727,44304
1535727,576329
1535727,6404
26825,10834
26825,46224
26825,3095
26825,81351
26825,7510
26825,1791707
192481,326767
192481,2557811
192481,778
192481,566579
192481,54353
192481,36151
585896,117797
585896,3347172
585896,1849335
585896,16949
585896,535603
